,logFC,AveExpr,t,P.Value,adj.P.Val,B
TMPRSS4,-0.31429084576941,8.67567724545714,-3.54193512453555,0.000546032442873202,0.00103661026344028,-1.43757387183088
LGR5,0.182833864811026,4.55541081191363,3.54159555191139,0.000546675405696906,0.0010376851275272,-1.43867841959044
ELF1,-0.140452838625332,8.41488004582318,-3.54155407299677,0.000546753992687156,0.0010376885565464,-1.43881333446681
IL36RN,-0.38273390330368,7.21776965350759,-3.5414622849939,0.000546927934365098,0.00103787293357825,-1.43911188070348
MRPL40,0.18595000452158,8.17275801503676,3.54006209872142,0.000549587809957901,0.0010427740069607,-1.44366527886921
CLEC1A,-0.135234623211716,5.59283720692938,-3.53617018666314,0.000557045256082109,0.00105665632282373,-1.45631391045978
TPPP,-0.139887134304335,5.13557449453748,-3.53616214173273,0.000557060769524164,0.00105665632282373,-1.4563400443587
DIMT1,-0.11085083216868,6.87780747203341,-3.53597211284395,0.000557427330079054,0.00105720325091474,-1.45695733750055
GRIN2B,-0.0493939515313126,4.75879173040833,-3.53556787577944,0.000558207848075205,0.00105853501708102,-1.45827037664939
SNED1,-0.0865666001315226,5.12445113273908,-3.5343682052151,0.000560530286669811,0.00106278995852167,-1.46216640227045
ARPC5,0.100033132869543,9.17816541120751,3.53309245962656,0.000563009980069067,0.00106734182643196,-1.46630828377058
LOC101929272,0.197481382203651,4.36586849322062,3.53278415857853,0.000563610779158248,0.00106833095095704,-1.46730903885027
FUT7,-0.0555917849250865,4.82516679054274,-3.53213170216076,0.000564884239465447,0.00107059465662257,-1.46942669427172
AAAS,0.078282000252173,7.53103712785926,3.5318918980691,0.000565352968106817,0.00107133277677561,-1.47020493659911
AGO1,0.128711725034084,7.31254794978332,3.53151863426615,0.000566083290059918,0.00107256633466421,-1.47141621186247
HES1,-0.151182710962741,7.33867622581871,-3.53016712717249,0.000568735065228753,0.0010774396420755,-1.47580108728073
EIF2D,-0.145817292198331,8.34921790891862,-3.53010860873937,0.000568850147277294,0.00107750662094641,-1.47599091499678
TSR3,0.0657391380715878,5.99852106973936,3.52931945207866,0.000570404241819419,0.00108029895294135,-1.47855060202241
VPS54,0.133164916112134,7.39938640563358,3.52918181769345,0.000570675695734162,0.00108066162643228,-1.47899698050047
FAM193A,-0.118779167748939,7.21787633225069,-3.52849833721255,0.000572025515136108,0.00108306596204322,-1.48121344339656
TPM3,0.0947829469446687,4.84739390172593,3.52816339877234,0.00057268808877321,0.00108416858380304,-1.4822994871027
PDK4,-0.246347754663832,4.79470162883953,-3.52802429393281,0.000572963477613693,0.00108453801119735,-1.48275051179903
CAAP1,-0.181500384090731,7.0486739092212,-3.52662154638161,0.000575747503678897,0.00108965516205297,-1.48729786604398
RPS15,-0.0829063654679516,11.5645775950439,-3.52504281247846,0.000578896039877491,0.00109546065233048,-1.49241392728744
C4orf19,-0.205340851912127,4.76416576234268,-3.52365599875365,0.000581675187915738,0.00110056561174313,-1.49690648007465
GPR107,0.0704759178580343,5.98662497908431,3.52333256672694,0.000582325143196857,0.00110164114086024,-1.49795401987089
HOXD12,-0.0685029328538285,3.71525720493246,-3.52268693613682,0.000583624620033256,0.0011039449600769,-1.50004486558485
IL21R,0.127552341608714,4.55711855381677,3.52240962599846,0.000584183606688102,0.00110478893476366,-1.50094282429542
RPLP2,-0.0892552524026947,5.32977096736866,-3.52238449143744,0.000584234296467324,0.00110478893476366,-1.50102420968247
NKTR,-0.0888352691597157,6.250526478994,-3.52186015241375,0.000585292694526577,0.00110663552973233,-1.50272190270243
CHIT1,0.199685665945473,4.83561489401218,3.52144682267463,0.000586128288025894,0.00110806040182822,-1.50406002435183
CNOT4,-0.0550055593581245,4.90399026364699,-3.51948137236543,0.000590117059158028,0.00111544504259031,-1.51042122507683
GTF2B,-0.173620514490655,8.09190946564869,-3.51878647352558,0.000591533420603546,0.00111796590399342,-1.51266956625043
BEAN1,-0.135972069441117,4.37587937928942,-3.51828828953363,0.000592550801077597,0.0011197321136135,-1.5142812105581
FAM57A,0.223571399777382,8.20694662824395,3.51793710380667,0.000593268974328316,0.00112083256552036,-1.51541719585844
SPANXA1 /// SPANXA2 /// SPANXB1 /// SPANXC,0.621979035467917,5.86482227724572,3.51792242318568,0.000593299013964681,0.00112083256552036,-1.51546468141244
MIR7109 /// PISD,0.116606901204725,7.15646058121456,3.51498565711011,0.000599337126162141,0.00113208123830627,-1.52496055545756
KLF15,-0.112659275702962,6.76922910816565,-3.51362009878001,0.000602164424789742,0.00113726274469443,-1.52937376830098
CREBZF,0.118138675757329,5.6490712219291,3.51344992191461,0.00060251764301665,0.00113777084607657,-1.52992364613674
GSR,0.225769124241418,7.38276367380039,3.51320973727399,0.000603016500821432,0.00113855378717542,-1.53069969636903
CIITA,-0.0588627573796257,5.28270519098741,-3.51286784570066,0.000603727271953829,0.00113973656662327,-1.53180429137652
CCDC85B,0.079670320627207,5.63434091480437,3.51275216326275,0.000603967946937815,0.00114003167637773,-1.53217802191542
POLRMT,0.0856895029499382,5.91008658628148,3.50909225653052,0.000611629087276255,0.0011543313942939,-1.54399664751202
BRINP2,-0.085048545361114,4.86642532644363,-3.50881604630993,0.000612210962742889,0.00115526824371267,-1.5448881737151
USP8,-0.114170694684147,7.26558980989625,-3.50844805692327,0.000612986993095231,0.0011565711589672,-1.54607584563294
RLN1,-0.079067493086306,4.20503577328973,-3.50837158991591,0.000613148365799549,0.00115671414904814,-1.54632262701896
EMILIN2,0.084588704939996,4.98953037129523,3.50810447267961,0.000613712392343415,0.00115761660607415,-1.54718465730018
EBF2,-0.090847367819722,4.09588751838458,-3.50757148632779,0.000614839269080602,0.00115958034072346,-1.54890452675787
SH3GL2,-0.18302460537049,3.76208832582439,-3.50677639356791,0.000616523928109396,0.00116259535208574,-1.5514697712943
GUCY1A2,0.104522730132132,4.87928214710472,3.50663138252622,0.000616831648388502,0.00116301335490661,-1.55193757493775
SLC2A8,0.104695186567031,6.05672191233346,3.50658077339986,0.000616939077356413,0.00116305365190011,-1.55210083549937
MPDZ,-0.14200591853968,6.95181714522736,-3.50580292095091,0.000618592455778881,0.00116600795534889,-1.55460987193255
BCL7B,0.137819103816262,7.60501272682369,3.50466956000016,0.000621008955168156,0.00117039966937632,-1.55826480521397
CNTN6,-0.0542769536367272,3.58648829092887,-3.50362531392989,0.000623243306196564,0.00117444691623627,-1.56163148447292
STXBP2,-0.104545248579648,7.20941424132949,-3.50346600166245,0.000623584847415167,0.00117492669912393,-1.56214503835539
ANGPTL7,-0.146129371474844,4.78490939920154,-3.50321241326775,0.000624128865495714,0.00117578779163292,-1.56296245761448
