"","ME9","ME5","ME12","ME2","ME4","ME6","ME11","ME10","ME1","ME13","ME7","ME3","ME8","ME0"
"KLHDC8A",0.250916625497143,0.350442115831339,0.385899185338843,0.636563740759867,0.577331145270586,-0.0155076468766207,-0.441243027407652,-0.479413145402049,-0.719091299343732,-0.512958221693622,-0.417209029816729,-0.499870483945477,-0.476471252547887,0.680831430333512
"KLHL1",0.289441132764783,0.292187438937036,0.146909092709827,0.227157157943807,0.251324881560756,0.0943740377662157,-0.320242253116638,-0.304671851865752,-0.404780107849645,-0.31001993378602,-0.0544103874874752,-0.0307491218800498,-0.20383796986015,0.496008330622659
"KLHL11",-0.0517656343440122,-0.0576458409697847,-0.0419443982279852,-0.287482045340525,-0.261506751702288,0.219750044429835,0.0456326524011097,0.103115219654042,0.29486108542528,0.207936023929937,0.195411566039454,0.359566532797511,0.224164224371789,-0.179895451798603
"KLHL12",-0.142996095586207,-0.141231342980783,0.019381374140498,-0.0929598645445171,-0.103122656069806,-0.072700648535219,-0.076613659058111,0.0725668840490359,0.13385439850765,0.151228853813376,0.0335355889055221,0.0837952886705355,0.0364323540335908,-0.122355659797387
"KLHL18",0.278037473709083,0.267265140432598,0.144919863234381,0.37873818749543,0.464279358467556,-0.0384588503310486,-0.300675982708729,-0.237784463000453,-0.502513217514811,-0.327820315398212,-0.440738528450826,-0.354923703736235,-0.441225883495647,0.425055966396589
"KLHL2",0.306441826680341,0.304705774839689,0.338817164519768,0.575025661069183,0.525549071324782,-0.0383503065114491,-0.548509428895222,-0.542419280387335,-0.792453931936795,-0.619618155294276,-0.413009743185978,-0.327890420585356,-0.481071570904151,0.754407030584672
"KLHL20",0.0775905057737983,-0.161728813951148,-0.0270900025953463,-0.0382641755182215,-0.00193058566888318,-0.130423258243966,0.102382817148493,0.0826292034360555,0.134454508787681,0.217153733161093,0.0134381871606663,0.102100005784913,0.13583850042769,-0.177448313491682
"KLHL21",-0.02107389596311,-0.0518298045519246,-0.13614318133503,-0.162529534667931,-0.299322613288658,-0.0714919261319848,0.0223061679929502,0.190286515516411,0.175170181486135,0.0249437361328127,0.124218466439294,0.130360920748745,0.157886120458822,-0.156996599447642
"KLHL22",0.0789614380132167,0.129524590858695,0.00451703993818969,0.11327318108529,0.000391733185573083,0.0849826614454531,-0.116630434739354,-0.209781912250171,-0.075852965780604,-0.0970715418059847,0.0603942598803415,-0.0532371901099866,-0.0464233582623802,0.147757017244422
"KLHL23 /// PHOSPHO2-KLHL23",-0.114663735419073,-0.0646719212661207,0.153671212157014,0.121564067334965,-0.143095896951906,-0.0415999289532966,0.149289852664188,0.0874309637061441,0.147735419938617,0.102572417708611,0.0236808537985361,-0.11863215174519,-0.0190147530489962,-0.140136001431807
"KLHL24",-0.248715182161225,-0.27690429999829,-0.323065273834946,-0.456091194742059,-0.541596406623725,0.0427317955525048,0.305366286491852,0.342159265547669,0.54986020666997,0.359373881841883,0.480804251340432,0.382668429922824,0.476042156886001,-0.525373004405613
"KLHL25",0.136726775041165,0.154197212279787,-0.0362691016176714,-0.019021249627928,0.00453466137730452,0.11008460742555,-0.0167129831701669,-0.0481219791418855,-0.000341211426794941,-0.0197730773561237,0.0216472489311069,0.00791478339887588,0.042922290828845,0.0783816341491289
"KLHL26",-0.0581420248640654,-0.000547667932475132,-0.0145063778438166,-0.0702807007584439,-0.263238160693115,-0.138425996508337,0.166700656894484,0.231499564687294,0.279745355132772,0.17835617225647,0.099552696315444,0.152352008748368,0.165164971765444,-0.278501984599503
"KLHL28",-0.0597252833409611,-0.118803289549923,-0.0638755553663719,-0.174562814795298,-0.168157113934787,0.0602847328231632,0.0924805572645039,0.0481758992570774,0.147198856591841,0.0546958799802768,0.170063377918051,0.197440692023264,0.256769630085736,-0.134304401569107
"KLHL29",0.173691807883674,-0.0963876056205407,0.0341296598523117,0.170831124943645,0.158276045490916,0.16470660547546,-0.115774216721168,-0.164717778981912,-0.173906478395297,-0.137874814000236,-0.0452702553154903,-0.140882257113056,-0.172411844849798,0.148198938712393
"KLHL3",-0.109362670707706,-0.0620242785214366,0.0916789362370653,0.218884742433271,0.124266552729014,-0.228832770640535,-0.0279237826674639,0.113671896855171,-0.0935483442705767,-0.147403956312564,-0.143931849001459,-0.211952298679115,0.0179414857098204,0.0652455295014806
"KLHL35",0.149654638349489,0.171222609055244,0.00297014237257996,-0.0244951888796057,-0.00103387850147864,0.0529923003486069,-0.226493011808837,-0.125023473042138,-0.148893950395789,-0.197303229544587,-0.0401829199772764,0.192273072131851,-0.00554983266145744,0.277437733352823
"KLHL36",-0.304576951660731,-0.158930603397342,-0.0391705577016702,-0.136539710622468,-0.232707819272245,0.0510513231391524,0.20669818680705,0.110390961072218,0.327283063395357,0.228320352211249,0.155067533979253,0.0465212932400191,0.239545080409713,-0.335957700619736
"KLHL4",-0.00846539683087045,0.0773650548716499,0.113174568638069,0.256392589776995,0.145986875767353,-0.0962860358281143,0.0973976439901057,-0.0676733777570623,-0.105886389047243,-0.0909430780851829,-0.223260526023995,-0.144983842387428,-0.0744670893786364,0.0909207082421524
"KLHL41",0.182451398407905,0.233706984146902,0.243789242451244,0.399984274047599,0.274106568128333,-0.084296950578797,-0.219055280390149,-0.226774955705902,-0.320751205130111,-0.181215226946093,-0.20219919415164,-0.334407279737981,-0.263720590191759,0.294513955351781
"KLHL7",-0.194125107313875,-0.327013419691467,-0.362400267906534,-0.665373296923419,-0.571312821582407,0.0450605907601189,0.30486333936047,0.451513219614625,0.725964337371538,0.569107199642714,0.423014418949296,0.545819018491976,0.528370084681697,-0.682788560429944
"KLHL9",0.0361983752347478,0.0291757543371925,0.132183804236919,0.308689446940494,0.422502465672297,-0.101721195348793,-0.0613418741870949,-0.149632768114545,-0.350054926360928,-0.169750128621077,-0.283312212469449,-0.289788958697535,-0.164463383278815,0.278089195199855
"KLK1",0.192071283005957,0.107038032507515,0.144834826975952,0.0786281453637072,0.0773994534509646,0.166513855727838,-0.263249702982156,-0.143920615037479,-0.261120654174662,-0.167320411915439,0.0345683727336575,-0.0452607083133637,-0.0722212254753773,0.282345776093786
"KLK10",0.273297855203715,0.11568076096568,0.132453410584939,0.290662503007435,0.201294026719597,0.0996194874298772,-0.261237485388859,-0.271927896067974,-0.457614744029514,-0.291567875106455,-0.191699518609067,-0.229998741732848,-0.37213211431006,0.414924344670437
"KLK11",0.399974566987399,0.343833987548066,0.388574829212163,0.632712071827967,0.553881886950015,0.0471100756330907,-0.483791581660038,-0.526332630425381,-0.830210211918424,-0.574579595332644,-0.363310574907322,-0.48201905546742,-0.540356414355789,0.773255962169336
"KLK12",0.341158397167144,0.266227164422005,0.266763001239987,0.524348397009712,0.478200882794746,0.101704104709143,-0.456005033405159,-0.494953953286159,-0.765100225648506,-0.569108639156282,-0.295483430487908,-0.342597831200031,-0.460257662744807,0.730814260832609
"KLK13",0.455035364831736,0.343694717539108,0.357287877440601,0.674812857538023,0.631876727642952,0.0555771317702354,-0.562786493042562,-0.593640730479524,-0.910042451108157,-0.659660814812755,-0.433990785625913,-0.492288887043967,-0.60259381118442,0.856741911784855
"KLK14",-0.121939063598282,-0.016870841633269,-0.131727191627499,-0.154324020543421,-0.063460801225966,-0.0951995020064832,0.0359487872575655,0.208397081197839,0.0465848072927328,0.0487741891578363,0.0228889273443358,0.107133088308372,0.139593241833643,-0.00498149637325551
"KLK15",0.268164747339915,0.217181062326363,0.120081867848417,0.298890611103567,0.25990228017673,0.0998833144099152,-0.375564224242121,-0.437277257556991,-0.500070907136452,-0.406073759797899,-0.141452527945544,-0.12500151907865,-0.255608020520021,0.540167756416409
"KLK2",0.206726879796997,0.204043329130665,0.0474148556591115,0.133291160134923,0.122855756194087,0.142995219586529,-0.227990402977076,-0.262328655778758,-0.240403260332602,-0.219153360956508,-0.0111529207994234,-0.0197506282405156,-0.134885841668336,0.367045635940482
"KLK3",0.314567835664236,0.189492686639685,0.135155888028553,0.36319893127925,0.439921101054156,0.122074027258297,-0.336230538551371,-0.306111401465848,-0.546166751272091,-0.425460399279055,-0.277262717352636,-0.189276638441253,-0.307439057302413,0.611033555407321
"KLK5",-0.0419224878900762,-0.0161293724464694,-0.112323133801223,-0.0930329968211208,-0.00339811481808348,0.038323545755296,0.000112357104796678,-0.00310538619839223,-0.0329331246845544,0.0442953073809086,0.0131260983853447,-0.0132816540700496,-0.0306960979970651,-0.0139575122060838
"KLK6",0.171992422548735,0.0841677916675976,0.0619813960164506,0.210027367552981,0.0914223928029461,0.0376276621669868,-0.304191926516415,-0.324080304818797,-0.323012060566869,-0.146491825046377,-0.135666387069572,-0.121830799919137,-0.245770473597389,0.249551642609328
"KLK7",0.22754602151318,0.187415296889199,0.12906454858924,0.324878979970381,0.327213377498368,0.0607420092738556,-0.385888822262471,-0.421834454854819,-0.543803559854495,-0.392756598597193,-0.24860244889293,-0.257491183797431,-0.320057201077012,0.499275854056821
"KLK8",0.346179593609718,0.235774804821202,0.280675945171566,0.411616443481545,0.413665258944296,0.0664270660577359,-0.43112812863506,-0.481021984525823,-0.621770519107634,-0.418036459472484,-0.21098877224767,-0.340272010622759,-0.426112259499044,0.583070709206372
"KLKB1",0.134454937489782,0.178852401824093,0.177090455768972,0.482092716037976,0.350011865402134,0.0749978849685697,-0.224030347358342,-0.325188619759941,-0.412617756862376,-0.303357584297052,-0.244700682778893,-0.332248898962036,-0.25709118756833,0.406822162449266
"KLRAP1",0.0483590700106013,-0.00641133458031056,0.0216343472075639,-0.0682181064488446,-0.0351961337651481,-0.0642468836946684,0.0935749206408202,0.0646989884134207,0.0114755183269073,0.120406372188288,-0.0202236857377981,0.0724451554412782,-0.0122118452068527,-0.04148157557136
"KLRB1",0.288493394018783,0.13783467634351,0.113016424553237,0.416327082125298,0.483263582721226,0.179620462283863,-0.195161276275636,-0.229697042272561,-0.430126146717483,-0.23286264384245,-0.249962937443116,-0.301500815006906,-0.434598641547968,0.360279823738301
"KLRC1 /// KLRC2",-0.0850622927369345,0.178304320757122,-0.0232051826585593,-0.0398954594251857,0.00158857630774218,-0.28548444988211,0.107491822079473,0.0897393195192221,0.00230017880999257,-0.0318264597497188,-0.126390118165478,0.0677399742558625,-0.0502407643431162,-0.0407435917195728
"KLRC3",0.0988091735019146,0.0314922267712046,-0.0910272864692164,-0.148475202268725,-0.0900999138074738,0.039739080875532,-0.0258567803577404,-0.1089642666646,-0.0112200474547858,-0.0571899296795807,0.0977105673882349,0.206196861599413,-0.00151606983396997,0.0271379300451972
"KLRC4",0.158569177011446,0.00575298315702401,-0.162145236209485,-0.0993391239275611,0.0491298691179191,0.0396201965717385,0.0143792176940583,-0.0723982892957553,-0.0283376339591121,0.0398775876121844,-0.0491721464540587,0.224384285346757,-0.0634000670511688,0.0442612695466371
"KLRC4-KLRK1 /// KLRK1",0.334416781838758,0.106636172398553,0.0247163278565046,0.264940370776342,0.328733065839803,0.268757772747819,-0.150253923784542,-0.286018686184633,-0.388532800773514,-0.255058935443028,-0.160748549265923,-0.183362971927483,-0.348713489979777,0.318221677312032
"KLRD1",-0.019670565975502,0.0576483163310334,-0.0840282443627797,-0.0491220055471911,0.0763837506247964,-0.0912947184109791,-0.109804522021369,-0.0187887142093279,-0.0763352560920937,-0.077908082258178,0.00905245697354685,0.294132071448543,0.194655242576029,0.130239330381527
"KLRF1",0.142679218984527,0.120208651259387,0.046960615831278,0.216704301135938,0.211570598507189,-0.0707890947470682,-0.0847695209350937,-0.139126216130182,-0.185391378250526,-0.0551329147419215,-0.155422861289142,-0.0902126389766765,-0.205037467174577,0.174205642902821
"KLRG1",0.102783397346352,0.207089778288381,0.167883293112596,0.40026999091907,0.419714577496662,0.0751816905776439,-0.240082488776939,-0.290729786809211,-0.447157310129308,-0.227781814457476,-0.184959560724468,-0.343463500426407,-0.306652056999923,0.43933780609297
"KMO",0.0942005250858985,-0.150846471622399,-0.260036793778875,-0.532989293169227,-0.353229909551168,0.32321671536801,0.0980100315533815,0.0551634189733914,0.270148323554077,0.184348846618986,0.371311119733449,0.674250096661937,0.343492001162519,-0.169307812721814
"KMT2A",0.276576943677938,0.213797577381699,0.113921474577311,0.331079704043034,0.324931012294336,0.153178296148694,-0.181928535173693,-0.268160876988478,-0.497344315157763,-0.391622082218682,-0.112347500815665,-0.23146163950987,-0.346570123745513,0.471761076216301
"KMT2A /// LOC101929115",-0.0510230783472159,-0.150984704738225,-0.0842544332579794,-0.178208366930053,-0.148727532039718,0.163608104003964,0.291351660358649,0.168657594747678,0.267992219445509,0.115641714739323,0.137816715838664,0.00986586938698174,0.082327494516141,-0.287290508219644
"KMT2B",0.115012250993376,-0.0451450518228157,0.00744719358540866,-0.072280111489708,-0.319856188925344,-0.00484850087297905,-0.0357263553593096,-0.018693357568239,0.0923207316081278,0.0744352414515809,0.0696952522578404,0.075255724201778,0.0736712605364655,-0.0689249613504756
"KMT2B /// KMT2B",0.138315797834367,0.155314109221719,0.0864833137490147,0.193186669295128,0.170686744078129,-0.0967813462422232,-0.181606871600325,-0.105836906089219,-0.21673928786695,-0.150222904019465,-0.215802400455831,-0.118301886769458,-0.095491826649618,0.199954901221471
"KMT2D",0.11588397433344,0.182428405234238,0.0632427994158964,0.126017992088849,0.086871324944501,0.0440236396652272,-0.220178803251054,-0.22618646763136,-0.211847363955181,-0.260925708819047,-0.062148041024962,-0.0704116412885915,-0.138146341001118,0.282296654362161
"KNG1",0.235214839317501,0.24762113284645,0.32772621185951,0.410892341839843,0.442111604808984,0.0718580413522667,-0.333699337897513,-0.424043363622027,-0.487654199110134,-0.347410907625239,-0.21481835181584,-0.255804422486537,-0.287617027623902,0.56331080789928
"KNOP1",-0.334298271603012,-0.243000567505991,-0.374099555637642,-0.686870912901374,-0.628140779320271,-0.0504634855892175,0.382483075078516,0.454141838977105,0.744713795779061,0.570022204804,0.344388840399898,0.545182023900248,0.572117477664628,-0.69246620697225
"KNTC1",-0.390636012390638,-0.318507670383229,-0.375642313597273,-0.664366173922227,-0.646759134996883,0.0343701722358482,0.502656536667336,0.596680179294669,0.818430867568721,0.582230684447327,0.474800982395044,0.43446285684308,0.547583097204733,-0.778591048627168
"KPNA1",-0.30535269293092,-0.243620746936266,-0.306400263822424,-0.625168224855293,-0.64198457211191,-0.0888714983725829,0.360154704561257,0.530328481136039,0.716211817888653,0.4744797085773,0.409270079589417,0.454548061899219,0.48130539555458,-0.698449429951554
"KPNA2",-0.449146227639612,-0.417195634786473,-0.409118575684368,-0.739055381145974,-0.706335320192895,-0.0368962486691834,0.515785316217549,0.631219832638128,0.923244914314132,0.689970963646864,0.387478187239655,0.45778006374793,0.54822364973158,-0.916211747379681
"KPNA3",0.255679226041761,0.140673840051681,0.104523723259283,0.278420961254992,0.276363930370264,-0.0463950425962349,-0.219882681828105,-0.2543516933227,-0.404070420768028,-0.304800911179355,-0.30434726280441,-0.137026710452186,-0.323417349522206,0.397791153469552
"KPNA4",0.176513511865992,0.0747166403274214,0.024848974743144,0.103490108368587,0.116444102718061,0.144990748582006,-0.281354874272701,-0.207617641158551,-0.241252481101597,-0.166138221632975,-0.0998995928577184,-0.101677151255165,-0.320045817049169,0.233294981888369
"KPNA5",-0.127546062847769,0.0689512922164806,0.242933839355236,0.303426222368174,0.121384363677246,-0.0223557153892232,0.0800537733106705,-0.0322906845425358,-0.0755609180103089,0.00812296903190899,-0.106509753370496,-0.338819233645673,-0.175994543677743,0.0515505415335879
"KPNA6",-0.016787867440529,0.0511549203757416,-0.0938382140141451,-0.102138768605781,-0.152585805583777,-0.0317860810384173,-0.00342950881142454,0.0550748090473626,0.0782805224473993,-0.00381644336671643,-0.158288409817442,-0.0525191221586122,-0.146210882266542,-0.10115618809674
"KPNB1",-0.333401396490939,-0.211493739530809,-0.299988577417969,-0.412955497559359,-0.388343868037575,-0.0463384503902104,0.299371555384967,0.437625040975592,0.533603572883688,0.436940385703614,0.158050163134686,0.161414975644348,0.210747477337787,-0.546705580388736
"KPTN",-0.169062581893541,-0.181051964670486,-0.316989883359029,-0.501025704284173,-0.503332774333988,0.0345578655908511,0.209471371042492,0.2282850030624,0.51617612460351,0.43714533365824,0.308903216238141,0.396795445388492,0.362245296915325,-0.484038545828963
"KRAS",0.2890565622731,0.101372499868899,0.116902493669673,0.217049696355336,0.219133513858969,0.0299615699631464,-0.261209501856423,-0.235587214310054,-0.373932164208642,-0.174560650120183,-0.147707434038661,-0.149006400903384,-0.31037569041909,0.33522764023858
"KRBOX4",-0.117139993873473,-0.193999126963051,-0.13667067164143,-0.0963769648960507,-0.285314398459575,-0.050762192115851,0.333794700326528,0.27410415365326,0.302231938654247,0.202715766603647,0.133002000670966,0.0204944693872658,0.103517834005946,-0.323527343361787
"KRCC1",0.337505092800374,0.273016708745501,0.354791779401634,0.626890488596871,0.532767543470775,-0.0523172328095283,-0.428790804177981,-0.537422321206457,-0.724683555852546,-0.551128142245133,-0.428102588542843,-0.44470569956862,-0.565655217266607,0.676777657741986
"KREMEN2",-0.275886581546065,-0.199383516365553,-0.196479781603831,-0.422534443158508,-0.355637592747177,-0.115024596646971,0.215459256205461,0.315938242683458,0.49827339923387,0.295648674888748,0.319637481931118,0.234333747602363,0.39487417879632,-0.43359545116909
"KRI1",-0.281985719285015,-0.253685292026763,-0.356390461232408,-0.616445988527179,-0.532503532927845,0.0528735964986787,0.482376055145043,0.485775419017101,0.732895268461428,0.554412630418747,0.474786749278216,0.379463231622383,0.453808259331177,-0.700745478588515
"KRIT1",-0.373013862466954,-0.137067782957626,-0.083339578413641,-0.238829202933911,-0.311966404025413,-0.123659690258539,0.359614596162638,0.397160330424352,0.455688702723544,0.272480520605566,0.236139011834528,0.0981070681069828,0.302544042136659,-0.455190252379123
"KRR1",-0.281292111220472,-0.0890110289012192,-0.17917532568854,-0.221631132964255,-0.130701330549112,-0.215789035209411,0.0911952857973292,0.303110031920618,0.277102009896768,0.25973267654914,-0.0696149765840739,0.0805352658340549,0.103904125219147,-0.330734374841597
